id;datum;mitte;friedrichshain_kreuzberg;pankow;charlottenburg_wilmersdorf;spandau;steglitz_zehlendorf;tempelhof_schoeneberg;neukoelln;treptow_koepenick;marzahn_hellersdorf;lichtenberg;reinickendorf
95;2020-04-03;10;17;37;16;22;18;31;36;16;8;8;19
92;2020-04-02;36;24;21;32;10;19;19;32;9;7;11;17
89;2020-04-01;19;22;13;26;9;24;16;35;6;8;4;7
86;2020-03-31;45;11;19;24;3;27;24;16;8;8;11;17
83;2020-03-30;15;13;13;39;3;8;21;11;8;4;19;16
80;2020-03-29;16;4;11;6;5;12;9;1;6;2;;14
77;2020-03-28;26;14;11;21;14;40;13;40;7;11;;3
74;2020-03-27;46;20;32;17;6;6;23;25;11;7;6;8
71;2020-03-26;52;19;38;44;10;19;27;27;13;13;11;13
68;2020-03-25;26;46;18;37;9;8;30;30;17;4;5;14
65;2020-03-24;24;19;22;23;6;8;30;23;15;4;14;10
62;2020-03-23;20;9;9;24;9;6;13;15;12;2;10;30
59;2020-03-22;29;9;7;11;;3;2;3;2;2;;
56;2020-03-21;25;21;15;7;7;15;15;13;1;8;;
53;2020-03-20;17;16;16;14;8;11;16;18;15;5;10;23
50;2020-03-19;25;20;17;26;5;13;15;25;13;4;7;11
47;2020-03-18;23;19;10;16;3;10;25;11;8;3;7;10
44;2020-03-17;20;4;8;13;;6;11;6;9;6;6;3
41;2020-03-16;4;6;14;7;;6;6;2;4;1;6;7
38;2020-03-15;8;2;;6;2;3;1;2;;2;;
35;2020-03-14;7;5;;2;1;6;2;1;;4;;1
32;2020-03-13;7;10;9;12;1;4;7;3;3;;1;2
29;2020-03-12;7;;4;10;;6;5;7;3;1;;4
26;2020-03-11;9;2;6;9;1;6;1;4;;;1;2
23;2020-03-10;2;4;3;6;2;4;4;1;4;1;2;
20;2020-03-09;;3;2;1;3;2;3;2;;1;3;1
17;2020-03-08;1;1;;7;2;;;;;;;
14;2020-03-07;;;;1;;;;;;;;
11;2020-03-06;1;;1;2;;;1;;;;;
8;2020-03-05;4;2;2;;;;;;;;;2
5;2020-03-04;;2;1;;;;;;;;;
2;2020-03-03;3;;;;;;1;1;;1;;
